Log file folder doesn't exsit for signal 121
Log file folder doesn't exsit for signal 122
Log file folder doesn't exsit for signal 123
Log file folder doesn't exsit for signal 124
----Starting Signal 126, log file name: C:\Temp\ASC3Logs\126\ECON_10.112.126.2_2024_03_29_1130.dat
header line 1: ,Version #:,3

header line 1: 3-29-2024 11:30:00.0,ECON_10.112.126.2_2024_03_29_1130.dat

header line 1: 3-29-2024 11:30:00.0,Intersection #:,10.112.126.2

header line 1: 3-29-2024 11:30:00.0,IP Address:,10.112.126.2

header line 1: 3-29-2024 11:30:00.0,MAC Address:,00:04:81:02:79:74

header line 1: 3-29-2024 11:30:00.0,Controller Data Log Beginning:,3/29/2024,11:30:00.0

header line 1: 3-29-2024 11:30:00.0,Phases in use:,2,4,5,6,7,8

3/29/2024 11:30:05 AM 82 2
3/29/2024 11:30:05 AM 43 2
3/29/2024 11:30:05 AM 43 6
3/29/2024 11:30:05 AM 81 2
3/29/2024 11:30:05 AM 44 2
3/29/2024 11:30:05 AM 44 6
3/29/2024 11:30:15 AM 82 2
3/29/2024 11:30:15 AM 43 2
3/29/2024 11:30:15 AM 43 6
3/29/2024 11:30:16 AM 81 2
3/29/2024 11:30:16 AM 44 2
3/29/2024 11:30:16 AM 44 6
3/29/2024 11:30:16 AM 82 2
3/29/2024 11:30:16 AM 43 2
3/29/2024 11:30:16 AM 43 6
3/29/2024 11:30:18 AM 81 2
3/29/2024 11:30:18 AM 44 2
3/29/2024 11:30:18 AM 44 6
3/29/2024 11:30:19 AM 82 3
3/29/2024 11:30:20 AM 81 3
3/29/2024 11:30:22 AM 82 2
3/29/2024 11:30:22 AM 43 2
3/29/2024 11:30:22 AM 43 6
3/29/2024 11:30:23 AM 81 2
3/29/2024 11:30:23 AM 44 2
3/29/2024 11:30:23 AM 44 6
3/29/2024 11:30:25 AM 82 2
3/29/2024 11:30:25 AM 43 2
3/29/2024 11:30:25 AM 43 6
3/29/2024 11:30:27 AM 81 2
3/29/2024 11:30:27 AM 44 2
3/29/2024 11:30:27 AM 44 6
3/29/2024 11:30:28 AM 82 6
3/29/2024 11:30:28 AM 43 2
3/29/2024 11:30:28 AM 43 6
3/29/2024 11:30:28 AM 82 2
3/29/2024 11:30:29 AM 81 6
3/29/2024 11:30:30 AM 81 2
3/29/2024 11:30:30 AM 44 2
3/29/2024 11:30:30 AM 44 6
3/29/2024 11:30:30 AM 82 2
3/29/2024 11:30:30 AM 43 2
3/29/2024 11:30:30 AM 43 6
3/29/2024 11:30:32 AM 81 2
3/29/2024 11:30:32 AM 44 2
3/29/2024 11:30:32 AM 44 6
3/29/2024 11:30:33 AM 82 5
3/29/2024 11:30:33 AM 43 2
3/29/2024 11:30:33 AM 43 5
3/29/2024 11:30:34 AM 82 2
3/29/2024 11:30:34 AM 43 6
3/29/2024 11:30:36 AM 81 2
3/29/2024 11:30:36 AM 44 6
3/29/2024 11:30:37 AM 82 2
3/29/2024 11:30:37 AM 43 6
3/29/2024 11:30:37 AM 82 6
3/29/2024 11:30:38 AM 81 2
3/29/2024 11:30:39 AM 81 6
3/29/2024 11:30:39 AM 44 6
3/29/2024 11:30:40 AM 150 5
3/29/2024 11:30:40 AM 82 2
3/29/2024 11:30:40 AM 43 6
3/29/2024 11:30:41 AM 81 2
3/29/2024 11:30:41 AM 81 5
3/29/2024 11:30:41 AM 44 2
3/29/2024 11:30:41 AM 44 5
3/29/2024 11:30:41 AM 44 6
3/29/2024 11:30:44 AM 150 1
3/29/2024 11:30:45 AM 82 2
3/29/2024 11:30:45 AM 43 2
3/29/2024 11:30:45 AM 43 6
3/29/2024 11:30:48 AM 81 2
3/29/2024 11:30:48 AM 44 2
3/29/2024 11:30:48 AM 44 6
3/29/2024 11:30:55 AM 82 5
3/29/2024 11:30:55 AM 43 2
3/29/2024 11:30:55 AM 43 5
3/29/2024 11:31:00 AM 82 6
3/29/2024 11:31:00 AM 43 6
3/29/2024 11:31:01 AM 81 6
3/29/2024 11:31:01 AM 44 6
3/29/2024 11:31:02 AM 81 5
3/29/2024 11:31:02 AM 44 2
3/29/2024 11:31:02 AM 44 5
3/29/2024 11:31:07 AM 7 2
3/29/2024 11:31:07 AM 7 6
3/29/2024 11:31:07 AM 8 2
3/29/2024 11:31:07 AM 8 6
3/29/2024 11:31:07 AM 2 4
3/29/2024 11:31:07 AM 62 2
3/29/2024 11:31:07 AM 62 3
3/29/2024 11:31:07 AM 62 6
3/29/2024 11:31:07 AM 47 4
3/29/2024 11:31:07 AM 47 8
3/29/2024 11:31:07 AM 49 4
3/29/2024 11:31:07 AM 49 8
3/29/2024 11:31:07 AM 4 2
3/29/2024 11:31:07 AM 4 6
3/29/2024 11:31:07 AM 151 2
3/29/2024 11:31:07 AM 151 6
3/29/2024 11:31:07 AM 43 2
3/29/2024 11:31:07 AM 43 6
3/29/2024 11:31:07 AM 47 5
3/29/2024 11:31:07 AM 49 5
3/29/2024 11:31:11 AM 10 2
3/29/2024 11:31:11 AM 10 6
3/29/2024 11:31:11 AM 9 2
3/29/2024 11:31:11 AM 9 6
3/29/2024 11:31:13 AM 82 2
3/29/2024 11:31:13 AM 11 2
3/29/2024 11:31:13 AM 11 6
3/29/2024 11:31:13 AM 63 2
3/29/2024 11:31:13 AM 63 3
3/29/2024 11:31:13 AM 63 6
3/29/2024 11:31:13 AM 4 2
3/29/2024 11:31:13 AM 4 6
3/29/2024 11:31:14 AM 81 2
3/29/2024 11:31:18 AM 64 2
3/29/2024 11:31:18 AM 64 3
3/29/2024 11:31:18 AM 64 6
3/29/2024 11:31:20 AM 0 4
3/29/2024 11:31:20 AM 0 8
3/29/2024 11:31:20 AM 1 4
3/29/2024 11:31:20 AM 1 8
3/29/2024 11:31:20 AM 2 2
3/29/2024 11:31:20 AM 2 6
3/29/2024 11:31:20 AM 12 2
3/29/2024 11:31:20 AM 12 6
3/29/2024 11:31:20 AM 31 1
3/29/2024 11:31:20 AM 65 2
3/29/2024 11:31:20 AM 65 3
3/29/2024 11:31:20 AM 65 6
3/29/2024 11:31:22 AM 82 6
3/29/2024 11:31:25 AM 82 3
3/29/2024 11:31:26 AM 81 3
3/29/2024 11:31:28 AM 81 4
3/29/2024 11:31:28 AM 44 4
3/29/2024 11:31:28 AM 82 4
3/29/2024 11:31:28 AM 43 4
3/29/2024 11:31:31 AM 81 4
3/29/2024 11:31:31 AM 44 4
3/29/2024 11:31:35 AM 3 4
3/29/2024 11:31:35 AM 3 8
3/29/2024 11:31:36 AM 7 4
3/29/2024 11:31:36 AM 7 8
3/29/2024 11:31:36 AM 8 4
3/29/2024 11:31:36 AM 8 8
3/29/2024 11:31:36 AM 4 4
3/29/2024 11:31:36 AM 4 8
3/29/2024 11:31:36 AM 46 5
3/29/2024 11:31:36 AM 48 5
3/29/2024 11:31:40 AM 10 4
3/29/2024 11:31:40 AM 10 8
3/29/2024 11:31:40 AM 9 4
3/29/2024 11:31:40 AM 9 8
3/29/2024 11:31:42 AM 0 2
3/29/2024 11:31:42 AM 0 6
3/29/2024 11:31:42 AM 11 4
3/29/2024 11:31:42 AM 11 8
