----Starting Signal 3, log file name: C:\Temp\ASC3Logs\3\ECON_10.112.3.2_2024_03_29_1045.dat
header line 1: ,Version #:,3

header line 1: 3-29-2024 10:45:00.0,ECON_10.112.3.2_2024_03_29_1045.dat

header line 1: 3-29-2024 10:45:00.0,Intersection #:,10.112.3.2

header line 1: 3-29-2024 10:45:00.0,IP Address:,10.112.3.2

header line 1: 3-29-2024 10:45:00.0,MAC Address:,00:04:81:02:91:74

header line 1: 3-29-2024 10:45:00.0,Controller Data Log Beginning:,3/29/2024,10:45:00.0

header line 1: 3-29-2024 10:45:00.0,Phases in use:,2,4,5,6,8

3/29/2024 10:45:03 AM 150 1
3/29/2024 10:45:03 AM 82 6
3/29/2024 10:45:06 AM 81 6
3/29/2024 10:45:09 AM 82 6
3/29/2024 10:45:09 AM 22 6
3/29/2024 10:45:09 AM 47 8
3/29/2024 10:45:09 AM 49 8
3/29/2024 10:45:09 AM 151 6
3/29/2024 10:45:11 AM 81 6
3/29/2024 10:45:18 AM 22 2
3/29/2024 10:45:18 AM 47 4
3/29/2024 10:45:18 AM 49 4
3/29/2024 10:45:18 AM 151 2
3/29/2024 10:45:25 AM 23 2
3/29/2024 10:45:25 AM 23 6
3/29/2024 10:45:25 AM 3 2
3/29/2024 10:45:25 AM 3 6
3/29/2024 10:45:26 AM 48 4
3/29/2024 10:45:33 AM 82 6
3/29/2024 10:45:34 AM 81 6
3/29/2024 10:45:37 AM 48 8
3/29/2024 10:45:37 AM 82 2
3/29/2024 10:45:38 AM 82 6
3/29/2024 10:45:40 AM 81 2
3/29/2024 10:45:41 AM 81 6
3/29/2024 10:45:42 AM 21 2
3/29/2024 10:45:42 AM 21 6
3/29/2024 10:45:42 AM 46 4
3/29/2024 10:45:42 AM 46 8
3/29/2024 10:45:44 AM 82 5
3/29/2024 10:45:44 AM 43 5
3/29/2024 10:45:46 AM 81 5
3/29/2024 10:45:46 AM 44 5
3/29/2024 10:45:48 AM 82 4
3/29/2024 10:45:48 AM 43 4
3/29/2024 10:45:49 AM 81 4
3/29/2024 10:45:49 AM 44 4
3/29/2024 10:45:49 AM 82 2
